"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","DNK",-0.01431442128,-0.01489366924,-0.01549296037,-0.0160272188,-0.01647051562,-0.01680013549
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.01908613764,-0.01960155883,-0.02006981089,-0.02051766998,-0.02087517489,-0.02111795889
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","EGY",-0.0368343234,-0.03818043392,-0.03947498246,-0.04087015857,-0.04225860965,-0.04363536868
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","EST",-0.01677494682,-0.01740285158,-0.01810420685,-0.01882879973,-0.01956685107,-0.02028297144
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","FIN",-0.01568081661,-0.01621272297,-0.01676680511,-0.01728364483,-0.01774693287,-0.01810085149
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","FRA",-0.01748318635,-0.01830411771,-0.01910370516,-0.01980433501,-0.02036882397,-0.02085327713
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","DEU",-0.0166350089,-0.01731728535,-0.01801486779,-0.01862140942,-0.01909458312,-0.01946435015
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","GRC",-0.03143436923,-0.03250596277,-0.0335938534,-0.03476302413,-0.03583020818,-0.03683876173
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HKG",-0.03710432253,-0.03883168835,-0.04070233808,-0.04248087739,-0.04409948864,-0.04556748137
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HUN",-0.01540217493,-0.01590817897,-0.01650177382,-0.01720439528,-0.01783527734,-0.01828404821
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IND",-0.04662267273,-0.04887703089,-0.05118209177,-0.05340190609,-0.05545965358,-0.05733891304
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IDN",-0.03983251487,-0.04129372522,-0.04269526548,-0.04400014178,-0.04525573472,-0.04640352577
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","IRL",-0.01252277156,-0.01297053297,-0.01341123989,-0.01373623863,-0.01395752549,-0.0141194999
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ITA",-0.02333890013,-0.02420984146,-0.02507610916,-0.02589480706,-0.02659798948,-0.02722578881
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","JPN",-0.028860223,-0.02984310719,-0.03090004025,-0.03191387861,-0.0328507665,-0.03363426981
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.02716430407,-0.02826959721,-0.02937699101,-0.03046204228,-0.03152765679,-0.0325541279
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","LVA",-0.01556492066,-0.0160406095,-0.01652119157,-0.01695307112,-0.01733455164,-0.01761855239
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","LTU",-0.01644831071,-0.01700376016,-0.01757713447,-0.01811435549,-0.01859749402,-0.01895956078
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","MYS",-0.04481720906,-0.04672672798,-0.04858223335,-0.05022541858,-0.05169406244,-0.05302988626
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","MEX",-0.03191463322,-0.03308383836,-0.03432755028,-0.0356125152,-0.03684889509,-0.03795298946
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.04774452699,-0.04987179655,-0.05197860178,-0.05413201529,-0.05622835619,-0.0580963946
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NLD",-0.01412042385,-0.01472834097,-0.01535093275,-0.01587299836,-0.01626291842,-0.01653616552
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NZL",-0.01537103513,-0.01600310434,-0.01661936385,-0.017137067,-0.01754808662,-0.01787883698
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","NOR",-0.01431741337,-0.01494099758,-0.01561254549,-0.01620309662,-0.0167196594,-0.0171523747
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","POL",-0.01395605995,-0.01445476744,-0.01497739218,-0.0154990241,-0.01593958288,-0.01624505084
